reg.coeff,SE,t_val,p_val,species,vessel_id,fishery_lab,coeff_norm,rank_coeff
-13.13724691,295.0508132,-0.044525371,0.964487811,Shortfin makos,ETBF_26,Tuna longlines,-0.541484967,5
-13.37592957,730.8429222,-0.018302058,0.985398782,Shortfin makos,ETBF_27,Tuna longlines,-0.551322879,2
1.839858723,14.03151537,0.131123309,0.895684236,Shortfin makos,ETBF_28,Tuna longlines,0.05268226,66
-12.95680229,359.9454245,-0.035996575,0.971286854,Shortfin makos,ETBF_29,Tuna longlines,-0.534047484,7
-12.7389675,420.0036329,-0.030330613,0.975804868,Shortfin makos,ETBF_30,Tuna longlines,-0.525068871,11
1.43028323,14.03291369,0.101923468,0.918822438,Shortfin makos,ETBF_31,Tuna longlines,0.040954532,43
2.909498,14.03035533,0.207371655,0.835729981,Shortfin makos,ETBF_32,Tuna longlines,0.083310163,129
2.397542541,14.03011446,0.170885458,0.864322317,Shortfin makos,ETBF_33,Tuna longlines,0.068650902,115
1.311260377,14.03151795,0.093451071,0.925549814,Shortfin makos,ETBF_34,Tuna longlines,0.037546448,36
2.335515029,14.0306007,0.166458663,0.867804272,Shortfin makos,ETBF_35,Tuna longlines,0.066874814,113
2.143615346,14.03042894,0.152783308,0.878576727,Shortfin makos,ETBF_36,Tuna longlines,0.061379985,97
2.870308885,14.03041281,0.20457765,0.837912337,Shortfin makos,ETBF_37,Tuna longlines,0.082188028,128
2.850960106,14.03602898,0.203117286,0.839053504,Shortfin makos,ETBF_38,Tuna longlines,0.081633997,126
1.92205829,14.03006477,0.136995682,0.891040977,Shortfin makos,ETBF_39,Tuna longlines,0.055035951,75
1.681357281,14.03201589,0.119822932,0.904629324,Shortfin makos,ETBF_40,Tuna longlines,0.048143752,55
2.651231732,14.03023276,0.188965627,0.850129169,Shortfin makos,ETBF_41,Tuna longlines,0.075915003,125
2.149033295,14.03007805,0.153173296,0.878269201,Shortfin makos,ETBF_42,Tuna longlines,0.061535122,99
1.692415316,14.03598336,0.120576897,0.904032115,Shortfin makos,ETBF_43,Tuna longlines,0.048460386,56
2.091076128,14.03606407,0.14897881,0.881577726,Shortfin makos,ETBF_44,Tuna longlines,0.059875585,91
2.226372681,14.03041026,0.158681937,0.873927334,Shortfin makos,ETBF_45,Tuna longlines,0.063749647,103
-12.37391726,204.7077117,-0.060446757,0.951802785,Shortfin makos,ETBF_46,Tuna longlines,-0.510022399,14
1.40002328,14.0304568,0.099784583,0.920520257,Shortfin makos,ETBF_47,Tuna longlines,0.040088073,41
2.236485235,14.03205946,0.159383962,0.873374274,Shortfin makos,ETBF_48,Tuna longlines,0.064039209,104
2.430601025,14.03150934,0.173224488,0.862483581,Shortfin makos,ETBF_49,Tuna longlines,0.069597494,116
2.369016132,14.0319967,0.168829582,0.86593907,Shortfin makos,ETBF_50,Tuna longlines,0.06783408,114
2.14504919,14.030535,0.152884348,0.87849705,Shortfin makos,ETBF_51,Tuna longlines,0.061421042,98
1.07404514,14.03149202,0.076545327,0.938989013,Shortfin makos,ETBF_52,Tuna longlines,0.03075406,26
3.249636042,14.03146008,0.231596428,0.816863112,Shortfin makos,ETBF_53,Tuna longlines,0.093049629,132
1.993293356,14.03033627,0.142070248,0.887031543,Shortfin makos,ETBF_54,Tuna longlines,0.057075686,81
0.754569498,14.03291219,0.053771412,0.957119923,Shortfin makos,ETBF_55,Tuna longlines,0.021606239,23
0.87920517,14.03596314,0.062639461,0.950056678,Shortfin makos,ETBF_56,Tuna longlines,0.025175039,25
1.77023646,14.03301975,0.126147935,0.899621048,Shortfin makos,ETBF_57,Tuna longlines,0.050688706,63
1.509683031,14.0311783,0.107594886,0.914322352,Shortfin makos,ETBF_58,Tuna longlines,0.043228055,48
1.508175121,14.03196229,0.107481412,0.914412363,Shortfin makos,ETBF_59,Tuna longlines,0.043184878,47
1.742076133,14.03067882,0.124161928,0.901193191,Shortfin makos,ETBF_60,Tuna longlines,0.049882367,62
1.904831722,14.03254213,0.13574388,0.892030463,Shortfin makos,ETBF_61,Tuna longlines,0.054542688,71
2.440722238,14.03600378,0.17389011,0.861960464,Shortfin makos,ETBF_62,Tuna longlines,0.069887303,117
0.38292569,14.03195355,0.027289549,0.978230129,Shortfin makos,ETBF_63,Tuna longlines,0.010964641,19
1.243555117,14.03049887,0.088632281,0.929378509,Shortfin makos,ETBF_64,Tuna longlines,0.035607785,33
2.01806229,14.0300735,0.143838326,0.885635251,Shortfin makos,ETBF_65,Tuna longlines,0.057784917,85
1.920503805,14.03026508,0.136882931,0.891130094,Shortfin makos,ETBF_66,Tuna longlines,0.05499144,73
3.040958401,14.03159436,0.216722229,0.828435674,Shortfin makos,ETBF_67,Tuna longlines,0.087074382,131
1.645160437,14.03032939,0.117257435,0.906661834,Shortfin makos,ETBF_68,Tuna longlines,0.047107296,52
-12.8294703,275.538864,-0.046561382,0.962865093,Shortfin makos,ETBF_69,Tuna longlines,-0.528799173,9
2.053393177,14.0322885,0.146333449,0.883665401,Shortfin makos,ETBF_70,Tuna longlines,0.058796576,88
0.669045139,14.04176237,0.047646807,0.962000063,Shortfin makos,ETBF_71,Tuna longlines,0.019157346,22
2.142333718,14.03044124,0.152691828,0.878648867,Shortfin makos,ETBF_72,Tuna longlines,0.061343287,96
2.014170132,14.03022373,0.143559374,0.885855523,Shortfin makos,ETBF_73,Tuna longlines,0.057673469,84
1.661129657,14.03024603,0.118396331,0.905759469,Shortfin makos,ETBF_74,Tuna longlines,0.047564557,54
1.299973384,14.03055787,0.092653008,0.926183786,Shortfin makos,ETBF_75,Tuna longlines,0.037223258,35
1.726123468,14.03084566,0.12302348,0.902094572,Shortfin makos,ETBF_76,Tuna longlines,0.049425581,60
0.59235405,14.0359288,0.042202697,0.966339181,Shortfin makos,ETBF_77,Tuna longlines,0.016961384,21
1.871323855,14.03603675,0.13332281,0.893944674,Shortfin makos,ETBF_78,Tuna longlines,0.053583229,68
2.152476178,14.0301453,0.153417953,0.878076286,Shortfin makos,ETBF_79,Tuna longlines,0.061633705,100
1.141301951,14.03066192,0.081343415,0.935172844,Shortfin makos,ETBF_80,Tuna longlines,0.032679882,29
1.357700005,14.03016751,0.09677005,0.922913769,Shortfin makos,ETBF_81,Tuna longlines,0.038876194,39
1.192023593,14.03066206,0.084958471,0.932298581,Shortfin makos,ETBF_82,Tuna longlines,0.034132239,31
1.809700389,14.03009549,0.128987033,0.897374276,Shortfin makos,ETBF_83,Tuna longlines,0.051818711,64
2.0911827,14.03014557,0.149049252,0.881522146,Shortfin makos,ETBF_84,Tuna longlines,0.059878636,92
1.13168075,14.03062666,0.080657891,0.935717988,Shortfin makos,ETBF_85,Tuna longlines,0.03240439,28
-11.43239585,223.4624088,-0.051160264,0.959200323,Shortfin makos,ETBF_86,Tuna longlines,-0.471215205,16
1.699154639,14.03597731,0.121057095,0.903651782,Shortfin makos,ETBF_87,Tuna longlines,0.048653359,58
1.657180306,14.03047026,0.118112955,0.905983981,Shortfin makos,ETBF_88,Tuna longlines,0.047451472,53
1.985102622,14.03593602,0.141430014,0.887537237,Shortfin makos,ETBF_89,Tuna longlines,0.056841154,80
2.174732511,14.03021796,0.155003473,0.876826257,Shortfin makos,ETBF_90,Tuna longlines,0.06227099,101
1.085356789,14.03092496,0.077354614,0.938345243,Shortfin makos,ETBF_91,Tuna longlines,0.031077956,27
1.69804753,14.03034437,0.121026789,0.903675785,Shortfin makos,ETBF_92,Tuna longlines,0.048621658,57
1.603543327,14.03020457,0.114292227,0.909011776,Shortfin makos,ETBF_93,Tuna longlines,0.045915638,51
1.879703642,14.03006346,0.133976845,0.893427501,Shortfin makos,ETBF_94,Tuna longlines,0.053823174,70
1.823416747,14.03017842,0.129963903,0.896601401,Shortfin makos,ETBF_95,Tuna longlines,0.052211463,65
1.967886327,14.03097519,0.140252997,0.888467033,Shortfin makos,ETBF_96,Tuna longlines,0.056348185,77
1.877893281,14.03233021,0.133826189,0.893546627,Shortfin makos,ETBF_97,Tuna longlines,0.053771337,69
