param,reg.coeff,SE,t_val,p_val,species,fishery,vessel_fctr_number,rank_coeff,coeff_norm,rank_coeff_norm,fishery_lab,signif
VSL_ID_F19,-0.132810796,0.518242821,-0.256271366,0.797754372,Sea turtles,ETBF,19,28,-0.075168989,28,Tuna longlines,No
VSL_ID_F20,-0.061859913,0.535774766,-0.115458803,0.908087219,Sea turtles,ETBF,20,45,-0.035011816,45,Tuna longlines,No
VSL_ID_F21,0.165517104,0.463022484,0.357470985,0.720757942,Sea turtles,ETBF,21,89,0.037366898,89,Tuna longlines,No
VSL_ID_F22,-0.267558745,0.491175534,-0.544731418,0.585968361,Sea turtles,ETBF,22,11,-0.151434379,11,Tuna longlines,No
VSL_ID_F23,0.420115889,0.257119249,1.633934024,0.102350729,Sea turtles,ETBF,23,98,0.094844746,98,Tuna longlines,No
VSL_ID_F24,-0.011247571,0.54841954,-0.020509064,0.983638296,Sea turtles,ETBF,24,72,-0.006365963,72,Tuna longlines,No
VSL_ID_F25,0.095706272,0.47648891,0.200857291,0.840820289,Sea turtles,ETBF,25,80,0.021606507,80,Tuna longlines,No
VSL_ID_F26,0.094476332,0.520823141,0.181398107,0.856064217,Sea turtles,ETBF,26,79,0.021328838,79,Tuna longlines,No
VSL_ID_F27,0.506143966,0.407514718,1.242026222,0.214299083,Sea turtles,ETBF,27,100,0.11426631891596856,100,Tuna longlines,No
VSL_ID_F28,-0.07629826,0.531705607,-0.143497188,0.885904698,Sea turtles,ETBF,28,41,-0.043183711,41,Tuna longlines,No
VSL_ID_F29,-0.020153492,0.54598577,-0.03691212,0.970556902,Sea turtles,ETBF,29,62,-0.011406585,62,Tuna longlines,No
VSL_ID_F30,-0.014561684,0.547508884,-0.026596251,0.978783079,Sea turtles,ETBF,30,68,-0.008241702,68,Tuna longlines,No
VSL_ID_F31,-0.1402195,0.516644963,-0.271403981,0.786094226,Sea turtles,ETBF,31,26,-0.079362209,26,Tuna longlines,No
VSL_ID_F32,0.041709478,0.510028037,0.081778794,0.934826676,Sea turtles,ETBF,32,76,0.00941627,76,Tuna longlines,No
VSL_ID_F33,-0.016311564,0.547046104,-0.02981753,0.976214053,Sea turtles,ETBF,33,66,-0.009232109,66,Tuna longlines,No
VSL_ID_F34,-0.102943133,0.52517618,-0.196016378,0.844607219,Sea turtles,ETBF,34,36,-0.058264324,36,Tuna longlines,No
VSL_ID_F35,-0.329609407,0.479957658,-0.686746844,0.492281741,Sea turtles,ETBF,35,3,-0.186554156,3,Tuna longlines,No
VSL_ID_F36,-0.035170391,0.542019457,-0.064887691,0.948266636,Sea turtles,ETBF,36,55,-0.019905933,55,Tuna longlines,No
VSL_ID_F37,-0.056967963,0.536367137,-0.106210764,0.915420412,Sea turtles,ETBF,37,47,-0.032243043,47,Tuna longlines,No
VSL_ID_F38,0.060361392,0.472164388,0.127839781,0.898282139,Sea turtles,ETBF,38,77,0.013627099,77,Tuna longlines,No
VSL_ID_F39,-0.057599082,0.536243488,-0.10741218,0.914467333,Sea turtles,ETBF,39,46,-0.032600247,46,Tuna longlines,No
